epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.937,2.28376,3.58601,2.19979,0.00688,0.77844,0.08689,0.03744,1.66708,3.39388,1.82895,0.0001125,0.0001125,0.0001125
2,18.9895,1.28062,2.96492,1.37417,0.00945,1,0.30891,0.2245,0.86236,2.88815,1.03187,0.00023703,0.00023703,0.00023703
3,25.3135,1.14255,2.18129,1.26811,0.72165,0.08754,0.48982,0.33711,1.04727,2.45669,1.12275,0.000361065,0.000361065,0.000361065
4,29.5995,1.07038,1.70921,1.20189,0.70727,0.53154,0.69222,0.48403,0.99077,2.09587,1.12212,0.000484604,0.000484604,0.000484604
5,34.3484,1.08278,1.4147,1.21405,0.79279,0.86585,0.95783,0.66645,1.07016,1.24141,1.20145,0.000607649,0.000607649,0.000607649
6,41.4692,1.01299,1.19274,1.16534,0.94099,0.89895,0.9625,0.69773,0.99937,1.20225,1.13925,0.000730199,0.000730199,0.000730199
7,45.7804,1.06822,1.21547,1.17276,0.90977,0.84727,0.96374,0.67656,1.01415,1.23607,1.1358,0.000852254,0.000852254,0.000852254
8,50.7184,1.04288,1.09057,1.159,0.78793,0.81753,0.96286,0.67433,1.02611,1.33166,1.17614,0.000973813,0.000973813,0.000973813
9,59.0411,1.02955,1.11504,1.16681,0.93566,0.959,0.98935,0.6925,1.04005,0.98527,1.22276,0.00109488,0.00109488,0.00109488
10,65.1179,1.07334,1.09793,1.23122,0.98025,0.97414,0.99146,0.73082,0.96118,0.93175,1.13031,0.00121545,0.00121545,0.00121545
11,69.6423,1.10728,1.09959,1.19132,0.84969,0.76346,0.83995,0.46201,1.536,1.45279,1.58505,0.00122525,0.00122525,0.00122525
12,75.4864,1.08111,1.11332,1.24208,0.86128,0.91904,0.97068,0.70966,0.98497,1.11157,1.12657,0.00122277,0.00122277,0.00122277
13,80.7896,1.14913,1.14777,1.20752,0.92711,0.94046,0.989,0.69746,1.03771,0.93859,1.19257,0.0012203,0.0012203,0.0012203
14,85.1912,1.00223,1.01668,1.16988,0.95365,0.98993,0.99303,0.73449,0.94609,0.8465,1.11313,0.00121783,0.00121783,0.00121783
15,90.3666,1.02813,0.96069,1.1509,0.97033,0.9834,0.99438,0.72988,0.97934,0.78129,1.12919,0.00121535,0.00121535,0.00121535
16,96.9627,0.96389,0.92905,1.13463,0.96084,0.97999,0.99467,0.71692,1.00432,0.74488,1.14543,0.00121287,0.00121287,0.00121287
17,101.508,0.99739,0.9293,1.15136,0.98515,0.98584,0.99228,0.70618,1.04276,0.72528,1.18434,0.0012104,0.0012104,0.0012104
18,106.081,1.00242,0.93223,1.15472,0.97464,0.97293,0.99004,0.75848,0.87848,0.72161,1.07477,0.00120793,0.00120793,0.00120793
19,112.961,0.99487,0.93124,1.1429,0.98164,0.98223,0.99081,0.75023,0.88881,0.74155,1.10863,0.00120545,0.00120545,0.00120545
20,117.329,0.95852,0.8161,1.10292,0.98825,0.99462,0.994,0.72178,0.98376,0.63734,1.14912,0.00120298,0.00120298,0.00120298
21,121.664,0.988,0.85592,1.13481,0.99885,0.99697,0.995,0.76342,0.87884,0.6019,1.06496,0.0012005,0.0012005,0.0012005
